,City,Country,Latitude,longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
142,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
143,Puerto Ayora,EC,-0.74,-90.35,66.0,92,99,9.48
144,Ayna,PE,-12.65,-73.92,60.8,44,0,1.12
145,Derzhavīnsk,KZ,51.1,66.32,32.7,88,59,14.52
146,East London,ZA,-33.02,27.91,66.2,68,20,3.36
147,Pauini,BR,-7.71,-66.98,73.22,98,100,3.29
148,East London,ZA,-33.02,27.91,66.2,68,20,3.36
149,Okhotsk,RU,59.38,143.3,-1.17,87,0,14.92
150,Wahpeton,US,46.27,-96.61,17.8,92,1,4.7
151,Albany,US,42.6,-73.97,48.97,100,1,2.73
152,Vaini,TO,-21.2,-175.2,75.2,88,40,5.82
153,Kapaa,US,22.08,-159.32,76.03,74,75,13.87
154,Kaeo,NZ,-35.1,173.78,55.0,87,14,1.99
155,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
156,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
157,Hobart,AU,-42.88,147.33,62.71,60,0,6.93
158,Tiksi,RU,71.69,128.87,-9.62,89,98,5.46
159,Kapaa,US,22.08,-159.32,76.03,74,75,13.87
160,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
161,Laas,IT,46.62,10.7,55.04,53,75,5.82
162,Aklavik,CA,68.22,-135.01,-6.65,76,0,4.7
163,Hay River,CA,60.82,-115.8,14.0,72,100,18.34
164,Paragominas,BR,-2.97,-47.48,82.18,80,100,4.56
165,Westport,US,41.14,-73.36,51.89,100,1,7.0
166,Santa Cecília,BR,-26.96,-50.43,65.48,78,99,4.12
167,Marsá Maţrūḩ,EG,31.35,27.25,72.14,51,0,10.98
168,Mount Gambier,AU,-37.83,140.77,77.0,47,100,18.34
169,Acajutla,SV,13.59,-89.83,69.01,100,29,3.62
170,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
171,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
172,Carnarvon,AU,-24.87,113.63,68.0,64,0,20.8
173,Dekar,BW,-21.53,21.93,94.17,22,22,3.94
174,Chokurdakh,RU,70.63,147.92,-11.38,91,98,2.84
175,Saint-François,FR,46.42,3.91,58.93,100,75,1.12
176,Beidao,CN,34.57,105.89,52.84,71,0,4.76
177,Lebu,CL,-37.62,-73.65,56.88,72,20,17.6
178,Kīhei,US,20.79,-156.47,72.57,65,1,14.99
179,Arraial do Cabo,BR,-22.97,-42.03,78.8,78,90,10.29
180,Nikolskoye,RU,59.7,30.79,37.69,64,0,8.95
181,San Jerónimo,PE,-11.95,-75.28,55.71,57,89,1.14
182,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
183,Avera,US,33.19,-82.53,66.74,89,90,9.17
184,Tando Jam,PK,25.43,68.54,80.91,18,0,1.61
185,Fortuna,US,40.6,-124.16,40.35,86,90,8.05
186,Ürümqi,CN,43.8,87.6,42.8,48,0,4.47
187,Kualakapuas,ID,-3.01,114.39,78.8,94,36,3.36
188,Butaritari,KI,3.07,172.79,81.81,78,6,8.81
189,Cabo San Lucas,MX,22.89,-109.91,70.02,77,50,3.0
190,Dikson,RU,73.51,80.55,18.16,98,100,16.93
191,Homer,US,59.64,-151.55,34.29,79,1,8.05
192,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
193,Torbay,CA,47.67,-52.73,45.72,93,90,14.99
194,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
195,Valea Nucarilor,RO,45.03,28.93,48.09,70,75,9.17
196,Bluff,NZ,-46.6,168.33,46.99,92,7,4.65
197,Albany,US,42.6,-73.97,48.97,100,1,2.73
198,Karaman Province,TR,37.08,33.25,56.52,42,0,10.85
199,San Jose,US,37.34,-121.89,39.9,69,1,3.36
200,Tomatlán,MX,19.93,-105.25,69.3,92,25,2.95
201,Bengkulu,ID,-3.8,102.27,77.81,83,100,1.61
202,Winsum,NL,53.33,6.52,43.21,100,90,5.82
203,Airai,TL,-8.93,125.41,64.4,100,100,1.83
204,New Norfolk,AU,-42.78,147.06,61.03,57,0,2.77
205,Mariental,NA,-24.63,17.97,89.91,12,0,6.76
206,Hong Kong,HK,22.29,114.16,69.12,69,61,1.99
207,Ust-Nera,RU,64.57,143.2,-20.54,78,46,3.4
208,Aklavik,CA,68.22,-135.01,-6.65,76,0,4.7
209,New Norfolk,AU,-42.78,147.06,61.03,57,0,2.77
210,Tuktoyaktuk,CA,69.45,-133.04,-6.36,89,0,8.3
211,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
212,Wonthaggi,AU,-38.6,145.59,66.45,57,0,10.58
213,Hobart,AU,-42.88,147.33,62.71,60,0,6.93
214,Arraial do Cabo,BR,-22.97,-42.03,78.8,78,90,10.29
215,Codrington,AU,-38.27,141.97,70.47,67,100,17.09
216,Abu Dhabi,AE,24.47,54.37,87.03,52,0,13.87
217,Vaini,TO,-21.2,-175.2,75.2,88,40,5.82
218,Coolum Beach,AU,-26.53,153.1,61.43,89,11,4.36
219,Kavaratti,IN,10.57,72.64,83.64,72,94,9.24
220,Saint-Pierre,RE,-21.34,55.48,71.96,69,90,20.8
221,George Town,MY,5.41,100.34,83.23,79,20,3.36
222,Ponta do Sol,PT,32.67,-17.1,66.81,60,75,8.05
223,Namikupa,TZ,-10.83,39.6,91.72,31,56,11.97
224,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
225,São José da Coroa Grande,BR,-8.9,-35.15,82.04,67,2,11.54
226,Lebu,CL,-37.62,-73.65,56.88,72,20,17.6
227,Constitución,CL,-35.33,-72.42,64.72,59,0,1.19
228,Gorontalo,ID,0.54,123.06,76.41,85,72,3.18
229,Dayong,CN,25.02,118.29,68.0,52,0,17.9
230,Lorengau,PG,-2.02,147.27,82.8,72,71,6.69
231,Ribeira Grande,PT,38.52,-28.7,60.8,87,75,20.8
232,Canchungo,GW,12.07,-16.03,90.37,62,75,2.24
233,Bonavista,CA,48.65,-53.11,43.02,93,69,5.82
234,Bredasdorp,ZA,-34.53,20.04,69.8,40,0,17.22
235,Lompoc,US,34.64,-120.46,38.21,74,1,6.93
236,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
237,East London,ZA,-33.02,27.91,66.2,68,20,3.36
238,Ranot,TH,7.78,100.32,80.96,81,100,9.55
239,Port Alfred,ZA,-33.59,26.89,63.88,69,100,6.42
240,Lahore,PK,31.55,74.34,75.2,53,40,2.86
241,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
242,Hithadhoo,MV,-0.6,73.08,83.46,76,100,16.31
243,Arlit,NE,18.74,7.39,84.29,15,0,5.03
244,Pacanga,PE,-7.17,-79.5,62.6,82,40,6.93
245,Vaini,TO,-21.2,-175.2,75.2,88,40,5.82
246,Qaanaaq,GL,77.48,-69.36,-4.27,62,0,5.93
247,Dikson,RU,73.51,80.55,18.16,98,100,16.93
248,Hobart,AU,-42.88,147.33,62.71,60,0,6.93
249,Barrow,US,71.29,-156.79,10.4,78,1,25.28
250,Poso,ID,-1.4,120.75,81.0,67,100,4.34
251,Saint-Augustin,CA,51.23,-58.65,43.38,94,100,16.87
252,Shimoda,JP,34.67,138.95,46.99,78,9,6.15
253,Provideniya,RU,64.38,-173.3,35.6,92,100,25.99
254,Ostrovnoy,RU,68.05,39.51,33.22,90,100,15.48
255,Vaini,TO,-21.2,-175.2,75.2,88,40,5.82
256,Jamestown,US,42.1,-79.24,54.18,81,1,9.17
257,Mar del Plata,AR,-38.0,-57.56,68.0,68,20,9.17
258,Kieta,PG,-6.22,155.63,80.29,75,96,2.35
259,Hermanus,ZA,-34.42,19.23,71.01,48,0,8.99
260,Bluff,NZ,-46.6,168.33,46.99,92,7,4.65
261,São Félix do Xingu,BR,-6.64,-51.99,88.5,57,100,1.68
262,Alto Araguaia,BR,-17.31,-53.22,77.22,69,100,8.79
263,Kavaratti,IN,10.57,72.64,83.64,72,94,9.24
264,Lingao,CN,19.91,109.69,71.31,69,98,17.07
265,Arraial do Cabo,BR,-22.97,-42.03,78.8,78,90,10.29
266,Husavik,IS,66.04,-17.34,41.0,56,0,4.7
267,Hilo,US,19.73,-155.09,68.83,88,90,3.36
268,Cherskiy,RU,68.75,161.3,0.3,93,100,5.03
269,Souillac,MU,-20.52,57.52,78.8,65,40,11.41
270,Kosa,RU,59.94,55.0,24.44,97,91,6.26
271,Maumere,ID,-8.62,122.21,82.54,71,100,1.01
272,Castro,BR,-24.79,-50.01,69.15,75,100,6.69
273,Tiksi,RU,71.69,128.87,-9.62,89,98,5.46
274,Sinnamary,GF,5.38,-52.95,82.85,74,69,9.06
275,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
276,Mīnāb,IR,27.15,57.08,89.6,29,100,9.17
277,Limenaria,GR,40.63,24.58,64.81,48,75,12.75
278,Albany,US,42.6,-73.97,48.97,100,1,2.73
279,Vanimo,PG,-2.67,141.3,80.65,79,72,3.69
280,Hilo,US,19.73,-155.09,68.83,88,90,3.36
281,Great Yarmouth,GB,52.61,1.73,56.71,99,0,1.99
282,Yakeshi,CN,49.28,120.73,22.46,93,0,4.79
283,Atuona,PF,-9.8,-139.03,77.32,76,3,14.5
284,Bredasdorp,ZA,-34.53,20.04,69.8,40,0,17.22
285,Columbus,US,39.96,-83.0,55.6,33,1,5.82
286,Vaini,TO,-21.2,-175.2,75.2,88,40,5.82
287,Macia,MZ,-25.03,33.1,80.38,56,36,15.64
288,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
289,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
290,Cidreira,BR,-30.18,-50.21,71.82,87,4,12.1
291,Homer,US,59.64,-151.55,34.29,79,1,8.05
292,Ribeira Grande,PT,38.52,-28.7,60.8,87,75,20.8
293,Yulara,AU,-25.24,130.99,95.0,14,0,9.17
294,Tiksi,RU,71.69,128.87,-9.62,89,98,5.46
295,Yellowknife,CA,62.46,-114.35,0.63,70,40,16.11
296,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
297,Faanui,PF,-16.48,-151.75,76.35,79,100,9.33
298,Chokurdakh,RU,70.63,147.92,-11.38,91,98,2.84
299,Klaksvík,FO,62.23,-6.59,51.8,100,100,16.11
300,Ancud,CL,-41.87,-73.82,55.53,76,0,11.41
301,Merrill,US,45.18,-89.68,38.19,100,90,7.58
302,Hermanus,ZA,-34.42,19.23,71.01,48,0,8.99
303,Tautira,PF,-17.73,-149.15,75.2,83,75,5.82
304,Lebu,CL,-37.62,-73.65,56.88,72,20,17.6
305,Tiksi,RU,71.69,128.87,-9.62,89,98,5.46
306,Port Elizabeth,ZA,-33.92,25.57,66.2,68,75,10.29
307,Torbay,CA,47.67,-52.73,45.72,93,90,14.99
308,Qaanaaq,GL,77.48,-69.36,-4.27,62,0,5.93
309,Savannah Bight,HN,16.45,-85.85,73.4,94,40,12.68
310,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
311,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
312,Vryheid,ZA,-27.77,30.79,61.02,78,100,7.18
313,Hermanus,ZA,-34.42,19.23,71.01,48,0,8.99
314,Kaitangata,NZ,-46.28,169.85,50.0,82,8,4.0
315,Qaanaaq,GL,77.48,-69.36,-4.27,62,0,5.93
316,Tasiilaq,GL,65.61,-37.64,30.74,95,100,11.72
317,Port Hardy,CA,50.7,-127.42,39.2,100,90,9.71
318,Kapaa,US,22.08,-159.32,76.03,74,75,13.87
319,Tiksi,RU,71.69,128.87,-9.62,89,98,5.46
320,Ponta do Sol,PT,32.67,-17.1,66.81,60,75,8.05
321,Raja,SS,8.46,25.68,94.35,19,0,5.57
322,Iqaluit,CA,63.75,-68.51,10.4,72,75,19.46
323,Vrangel',RU,42.73,133.08,30.99,79,0,5.57
324,Arlit,NE,18.74,7.39,84.29,15,0,5.03
325,Bluff,NZ,-46.6,168.33,46.99,92,7,4.65
326,Takoradze,GH,4.88,-1.76,83.48,69,34,7.63
327,Rondonópolis,BR,-16.47,-54.64,85.48,56,100,7.54
328,Hermanus,ZA,-34.42,19.23,71.01,48,0,8.99
329,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
330,Coquimbo,CL,-29.95,-71.34,53.6,93,90,3.36
331,Dikson,RU,73.51,80.55,18.16,98,100,16.93
332,Hobart,AU,-42.88,147.33,62.71,60,0,6.93
333,Malakal,SS,9.53,31.66,96.03,17,1,8.21
334,Narsaq,GL,60.92,-46.05,23.0,85,75,3.36
335,Ponta do Sol,PT,32.67,-17.1,66.81,60,75,8.05
336,Hūn,LY,29.13,15.95,71.69,41,35,9.51
337,Madang,PG,-5.22,145.8,78.78,86,100,3.13
338,Lompoc,US,34.64,-120.46,38.21,74,1,6.93
339,Albany,US,42.6,-73.97,48.97,100,1,2.73
340,Geraldton,AU,-28.77,114.6,60.8,59,90,4.7
341,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
342,Chacao,VE,10.5,-66.85,74.57,78,40,2.24
343,George Town,MY,5.41,100.34,83.23,79,20,3.36
344,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
345,Puerto Ayora,EC,-0.74,-90.35,66.0,92,99,9.48
346,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
347,Broome,US,42.25,-75.83,52.57,93,1,6.93
348,Bredasdorp,ZA,-34.53,20.04,69.8,40,0,17.22
349,Port-Gentil,GA,-0.72,8.78,86.0,70,40,13.87
350,Aloleng,PH,16.13,119.78,80.51,82,100,8.86
351,Norman Wells,CA,65.28,-126.83,-9.4,76,75,1.86
352,Olinda,BR,-8.01,-34.86,84.2,66,40,16.11
353,Avarua,CK,-21.21,-159.78,75.2,94,0,14.34
354,Chifeng,CN,42.27,118.96,42.75,58,0,7.4
355,Dahuk,IQ,36.87,42.99,67.46,52,0,4.85
356,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
357,Hasaki,JP,35.73,140.83,43.93,81,75,3.36
358,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
359,Atuona,PF,-9.8,-139.03,77.32,76,3,14.5
360,Clyde River,CA,70.47,-68.59,5.0,84,90,13.87
361,Iqaluit,CA,63.75,-68.51,10.4,72,75,19.46
362,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
363,Dikson,RU,73.51,80.55,18.16,98,100,16.93
364,Shingū,JP,33.73,135.98,47.57,77,0,7.43
365,Bethel,US,41.37,-73.41,49.28,100,90,5.59
366,Saldanha,ZA,-33.01,17.94,68.0,61,0,23.04
367,Kenai,US,60.55,-151.26,27.79,92,75,3.36
368,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
369,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
370,Qaanaaq,GL,77.48,-69.36,-4.27,62,0,5.93
371,Mataura,NZ,-46.19,168.86,46.99,92,2,1.21
372,Bay Roberts,CA,47.6,-53.26,45.0,98,100,8.99
373,Atuona,PF,-9.8,-139.03,77.32,76,3,14.5
374,Saint-Philippe,RE,-21.36,55.77,71.47,69,90,20.8
375,Saskylakh,RU,71.92,114.08,6.03,94,100,3.13
376,Hilo,US,19.73,-155.09,68.83,88,90,3.36
377,Hobart,AU,-42.88,147.33,62.71,60,0,6.93
378,Oussouye,SN,12.48,-16.55,90.48,66,40,4.7
379,Cape Town,ZA,-33.93,18.42,66.2,45,0,28.86
380,Port Alfred,ZA,-33.59,26.89,63.88,69,100,6.42
381,Hithadhoo,MV,-0.6,73.08,83.46,76,100,16.31
382,Bredasdorp,ZA,-34.53,20.04,69.8,40,0,17.22
383,Trebinje,BA,42.71,18.34,66.2,52,0,4.7
384,Vestmannaeyjar,IS,63.44,-20.27,42.8,70,20,17.22
385,Kiama,AU,-34.68,150.87,57.49,93,3,10.85
386,Oktyabr'skiy,RU,54.48,53.47,30.45,95,100,11.99
387,Butaritari,KI,3.07,172.79,81.81,78,6,8.81
388,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
389,Terrace Bay,CA,48.78,-87.1,37.4,86,100,10.29
390,Bambous Virieux,MU,-20.34,57.76,78.42,65,40,11.41
391,Lebu,CL,-37.62,-73.65,56.88,72,20,17.6
392,Seoul,KR,37.57,126.98,42.78,75,1,2.91
393,Albany,US,42.6,-73.97,48.97,100,1,2.73
394,Fortuna,US,40.6,-124.16,40.35,86,90,8.05
395,Portoferraio,IT,42.81,10.31,64.11,82,40,1.43
396,Busselton,AU,-33.65,115.33,51.64,72,56,7.2
397,Rikitea,PF,-23.12,-134.97,73.76,79,2,15.79
398,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
399,Dukat,RU,62.55,155.55,-20.15,86,36,4.14
400,Iqaluit,CA,63.75,-68.51,10.4,72,75,19.46
401,Isangel,VU,-19.55,169.27,75.24,85,100,14.61
402,Presque Isle,US,46.68,-68.02,55.51,67,1,4.7
403,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
404,Dingle,PH,11.0,122.67,76.86,87,100,3.94
405,Ushuaia,AR,-54.8,-68.3,48.2,57,20,13.87
406,Bauchi,NG,10.5,10.0,90.91,18,0,6.08
407,Ust-Tsilma,RU,65.44,52.15,23.76,94,0,5.75
408,Bilma,NE,18.69,12.92,82.63,19,0,4.65
409,Albany,US,42.6,-73.97,48.97,100,1,2.73
410,Bluff,NZ,-46.6,168.33,46.99,92,7,4.65
411,Dudinka,RU,69.41,86.18,-2.2,84,40,11.18
412,Noyabrsk,RU,63.2,75.45,14.05,97,93,4.23
413,Punta Arenas,CL,-53.15,-70.92,51.8,62,20,11.41
414,Skegness,GB,53.14,0.34,55.6,87,40,9.17
415,Olinda,BR,-8.01,-34.86,84.2,66,40,16.11
416,Ketchikan,US,55.34,-131.65,40.62,100,90,4.7
417,Provideniya,RU,64.38,-173.3,35.6,92,100,25.99
418,Port Alfred,ZA,-33.59,26.89,63.88,69,100,6.42
419,Ribeira Grande,PT,38.52,-28.7,60.8,87,75,20.8
420,Atuona,PF,-9.8,-139.03,77.32,76,3,14.5
421,Albany,US,42.6,-73.97,48.97,100,1,2.73
422,Paamiut,GL,61.99,-49.67,24.53,90,100,4.29
423,Haines Junction,CA,60.75,-137.51,10.4,85,53,2.24
424,Avarua,CK,-21.21,-159.78,75.2,94,0,14.34
425,Port Alfred,ZA,-33.59,26.89,63.88,69,100,6.42
426,Butaritari,KI,3.07,172.79,81.81,78,6,8.81
